url,price,name
//chaoshi.detail.tmall.com/item.htm?id=525390584317&rewcatid=50514008,99.00,"
  【天猫超市】德国进口, 德亚, 纯, 200mlx30/箱
"
//chaoshi.detail.tmall.com/item.htm?id=521677981901&rewcatid=50514008,109.00,"
  【天猫超市】新西兰进口,Anchor安佳,轻欣250ml*24盒/箱
"
//chaoshi.detail.tmall.com/item.htm?id=39930717353&rewcatid=50514008,49.90,"
  【天猫超市】西班牙进口维加Vega,纯,1L*6 早餐饼干配,
"
//chaoshi.detail.tmall.com/item.htm?id=524513398360&rewcatid=50514008,119.00,"
  【天猫超市】德国进口, 德亚, 纯, 1Lx12/箱装
"
//chaoshi.detail.tmall.com/item.htm?id=543446249348&rewcatid=50514008,129.00,"
  【天猫超市】德国进口海外直采Hochwald好沃德,1L*12盒
"
//chaoshi.detail.tmall.com/item.htm?id=523391734900&rewcatid=50514008,49.90,"
  【天猫超市】奥地利原装进口 绿林贝UHT,纯,1L*6盒 0.5%
"
//chaoshi.detail.tmall.com/item.htm?id=540271599415&rewcatid=50514008,69.00,"
  【天猫超市】 德国原装进口 Arla爱氏晨曦,纯,200ml*24盒
"
//chaoshi.detail.tmall.com/item.htm?id=520361968639&rewcatid=50514008,79.00,"
  【天猫超市】新西兰进口纽仕兰牧场直供部分,纯,250ml*24
"
//chaoshi.detail.tmall.com/item.htm?id=40732690408&rewcatid=50514008,79.00,"
  【天猫超市】英国进口,韦沃部分,纯,200ml*27英超市有售
"
//chaoshi.detail.tmall.com/item.htm?id=44036036310&rewcatid=50514008,49.90,"
  【天猫超市】新西兰原装进口 纽麦福 部分,250ML* 12盒
"
//chaoshi.detail.tmall.com/item.htm?id=543578038537&rewcatid=50514008,99.00,"
  【天猫超市】德国原装进口, Arla爱氏晨曦,纯,1L*12盒
"
//chaoshi.detail.tmall.com/item.htm?id=523247356231&rewcatid=50514008,129.00,"
  【天猫超市】德国原装进口MUH甘蒂牧场牧牌,纯,1L*12/箱
"
//chaoshi.detail.tmall.com/item.htm?id=528414358145&rewcatid=50514008,52.80,"
  【天猫超市】麦德龙德国进口纯,宜客AKA,0.3% 6*1L/盒
"
//chaoshi.detail.tmall.com/item.htm?id=542959038721&rewcatid=50514008,119.00,"
  【天猫超市】澳大利亚进口,放牧原生,纯,250ml*24盒/箱
"
